,NOMBRE,FACTURA
121,OSANIA CLEANING & SANITIZING,F39257
122,KERN LIEBERS MEXICO,F40144
123,MECAPRIM SERVICIOS INDUSTRIALES,F40368
124,JAKBA-SEE,F40380
125,MULTI EQUIPOS AUTOMOTRICES VIZU,F40060
126,GRUPO ROCE INDUSTRIAL Y COMERCIAL,F40062
127,JOSE ALEJANDRO DIAZ NIETO,F40339
128,GRUPO ROCE INDUSTRIAL Y COMERCIAL,F40077
129,PÚBLICO EN GENERAL,F36340
130,PÚBLICO EN GENERAL,F37204
131,PÚBLICO EN GENERAL,NV00356
132,TERMOFORMADOS,F40349
133,MARATHON SYSTEMS CONTROL,F39912
134,FRANCISCO JAVIER MEDINA SANCHEZ,F39426
135,GABRIELA GARCIA SANCHEZ,F40360
136,MECAPRIM SERVICIOS INDUSTRIALES,F40369
137,JOSE ALEJANDRO DIAZ NIETO,F40336
138,JV AGRO,F40373
139,UCH COMERCIAL,F40365
140,POLIETILENOS Y PRODUCTOS DE QUERETARO,F40374
141,PÚBLICO EN GENERAL,NV00351
142,DISTRIBUIDORA LIVERPOOL,F40348
143,TRATAMIENTOS TERMICOS DE QUERETARO,F39931
144,PÚBLICO EN GENERAL,F36620
145,CAPTIVE SPORT,F36062
146,HEVACSA TERMOENCOGIBLES,F40311
147,ELECTRO FERRETERA REAL,F40314
148,SCIMPLA,F38125
149,ANA KARLA ROSALES VAZQUEZ,F40097
150,LBQ FOUNDRY,F40161
151,MANUFACTURERA SLY,F40334
152,PÚBLICO EN GENERAL,NV00368
153,J H MILLS,F40310
154,PÚBLICO EN GENERAL,F35996
155,BURBUPAC DE QUERETARO,F40318
156,AT Y V DESARROLLOS Y MANUFACTURAS,F40370
157,PÚBLICO EN GENERAL,NV00780
158,OLMO RACKS & DUNNAGE,F38473
159,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,F40055
160,PÚBLICO EN GENERAL,NV00777
161,PÚBLICO EN GENERAL,NV00778
162,PÚBLICO EN GENERAL,NV00779
163,FISHERS QUERETARO,F38248
